id,category,severity,cvss_score,findings_count,description,affected_components,cwe,iso27001_controls,business_impact,remediation,type
WEB-001,XSS (Cross-Site Scripting),High,7.3,2,Reflected XSS 취약점 및 CSP 헤더 미설정,"['/board/list', '/join']",CWE-79,"['A.8.16', 'A.8.8']","사용자 세션 탈취, 악성 스크립트 실행을 통한 개인정보 유출","HTML 이스케이프 처리, CSP 헤더 설정",Web Application
WEB-002,SQL Injection,Critical,9.8,28,MyBatis에서 ${} 파라미터 바인딩 사용으로 인한 SQL Injection,"['UserMapper.xml', 'BoardMapper.xml', '/user/profile', 'login']",CWE-89,"['A.8.16', 'A.8.3']","전체 데이터베이스 유출, 인증 우회, 데이터 변조 가능","PreparedStatement 사용, MyBatis #{} 파라미터 바인딩 적용",Web Application
WEB-003,OS Command Injection,Critical,9.8,4,Runtime.exec()에 사용자 입력이 직접 전달되어 임의 OS 명령어 실행 가능,"['AdminController.java:86', '/admin/system/ping']",CWE-78,"['A.8.8', 'A.8.16']","서버 전체 제어권 탈취, 시스템 파괴, 내부망 침투","Runtime.exec() 사용 금지, 화이트리스트 기반 입력 검증",Web Application
WEB-004,CSRF (Cross-Site Request Forgery),High,7.1,5,CSRF 토큰 미적용으로 사용자 의도하지 않은 요청 실행 가능,"['/board/write', '/user/profile', '/update', '/user/family/delete']",CWE-352,['A.8.16'],"사용자 계정으로 임의 작업 수행, 데이터 변조","Spring Security CSRF 보호 활성화, 모든 POST 요청에 토큰 추가",Web Application
WEB-005,약한 비밀번호 정책,Medium,5.3,1,4자리 숫자 비밀번호(1234) 허용,['회원가입 프로세스'],CWE-521,"['A.5.17', 'A.5.18']","무차별 대입 공격에 취약, 계정 탈취 위험","최소 8자, 대소문자/숫자/특수문자 조합 강제",Web Application
WEB-006,불충분한 접근 제어,High,8.1,3,게시글 조회 시 소유권 검증 부재 (IDOR),['BoardController.java'],CWE-639,"['A.8.3', 'A.5.15']",타인의 개인정보 및 민감 데이터 무단 접근,모든 리소스 접근 시 소유권 및 권한 검증,Web Application
WEB-007,취약한 비밀번호 복구,High,7.5,9,"토큰 생성 로직 부재, 보안 질문 기반 비밀번호 재설정","['AuthController.java', '/password/reset']",CWE-640,['A.5.17'],계정 탈취 경로 제공,"UUID 기반 시간 제한 토큰, 이메일 인증 필수",Web Application
WEB-008,불충분한 세션 관리,Medium,5.9,1,HttpOnly 플래그 미설정,['세션 쿠키'],CWE-1004,['A.8.16'],XSS를 통한 세션 탈취 가능,"HttpOnly, Secure, SameSite 플래그 설정",Web Application
WEB-009,쿠키 변조,Critical,9.1,3,쿠키 값 변조로 관리자 권한 획득,"['/admin/system', 'AdminController.java']",CWE-565,"['A.5.15', 'A.8.3']","관리자 권한 탈취, 시스템 전체 제어","JWT 또는 서버 세션 기반 권한 관리, HMAC 서명",Web Application
WEB-010,파일 전송 취약점,Critical,9.8,2,"실행 파일 업로드 가능, 경로 조작으로 설정 파일 접근","['/libs/upload', '/download']",CWE-434,"['A.8.8', 'A.8.16']","웹쉘 업로드를 통한 서버 장악, 민감 파일 유출","확장자 화이트리스트, 파일명 난수화, 경로 정규화",Web Application
